Hazard;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11
CONTROL;-;-;-;-;-;-;-;-;-;-;-
DATOS;$t1;-;-;$t1;-;$t2;$t2;-;-;-;-
